Employee #,Last Name,First Name,Sick Leave,Vacation Leave,Emergency Leave
10001,Garcia,Manuel III,5,7,5
10002,Lim,Antonio,5,7,5
10003,Aquino,Bianca Sofia,5,7,5
10004,Reyes,Isabella,5,7,5
10005,Hernandez,Eduard,5,7,5
10006,Villanueva,Andrea Mae,5,7,5
10007,San Jose,Brad,5,7,5
10008,Romualdez,Alice,5,7,5
10009,Atienza,Rosie,5,7,5
10010,Alvaro,Roderick,5,7,5
10011,Salcedo,Anthony,5,7,5
10012,Lopez,Josie,5,7,5
10013,Farala,Martha,5,7,5
10014,Martinez,Leila,5,7,5
10015,Romualdez,Fredrick,5,7,5
10016,Mata,Christian,5,7,5
10017,De Leon,Selena,5,7,5
10018,San Jose,Allison,5,7,5
10019,Rosario,Cydney,5,7,5
10020,Bautista,Mark,5,7,5
10021,Lazaro,Darlene,5,7,5
10022,Delos Santos,Kolby,5,7,5
10023,Santos,Vella,5,7,5
10024,Del Rosario,Tomas,5,7,5
10025,Tolentino,Jacklyn,5,7,5
10026,Gutierrez,Percival,5,7,5
10027,Manalaysay,Garfield,5,7,5
10028,Villegas,Lizeth,5,7,5
10029,Ramos,Carol,5,7,5
10030,Maceda,Emelia,5,7,5
10031,Aguilar,Delia,5,7,5
10032,Castro,John Rafael,5,7,5
10033,Martinez,Carlos Ian,5,7,5
10034,Santos,Beatriz,5,7,5
